ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-02-03,JTMEB3FV5RD181624,2024,RAV4 Prime XSE,DealerHold,False,At dealer,50823,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,87,Mojave Toyota of Barstow,https://www.mojavetoyotaofbarstow.com,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Special Color | Weather Package
2024-03-28,JTMEB3FVXRD192408,2024,RAV4 Prime XSE,Available,False,At dealer,50654,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,17,Longo Toyota,https://www.longotoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package
2024-04-18,JTMEB3FV3RD197742,2024,RAV4 Prime XSE,DealerHold,False,At dealer,50594,Silver Sky Metallic/Midnight Black Metallic Roof,Black Mixed Media,166,Freeway Toyota of Hanford,https://www.freewaytoyota.com,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Owner's Portfolio | Quick Charge Cable Package[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package
2024-04-30,JTMEB3FV6RD201380,2024,RAV4 Prime XSE,Available,False,At dealer,52291,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,114,Mossy Toyota,https://www.mossytoyota.com,False,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Running Boards[installed_msrp] | Weather Package"
2024-05-02,JTMEB3FV0RD198749,2024,RAV4 Prime XSE,,False,At dealer,51412,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,4,Bob Smith Toyota,https://www.bobsmithtoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package
2024-05-02,JTMEB3FV1RD199084,2024,RAV4 Prime XSE,DealerHold,False,At dealer,50963,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,87,Mojave Toyota of Barstow,https://www.mojavetoyotaofbarstow.com,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package
2024-05-07,JTMEB3FVXRD202807,2024,RAV4 Prime XSE,Available,False,At dealer,50168,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,24,Envision Toyota of West Covina,https://www.toyotawestcovina.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | ENVISION PROTECTION PACKAGE | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Weather Package | Zurich Shield
2024-05-14,JTMEB3FV4RD200048,2024,RAV4 Prime XSE,,False,At dealer,51402,Silver Sky Metallic/Midnight Black Metallic Roof,Black Mixed Media,15,Toyota Santa Monica,https://www.toyotasantamonica.com,False,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package"
2024-05-15,JTMEB3FV4RD201054,2024,RAV4 Prime XSE,,False,At dealer,51427,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,132,Toyota Chula Vista,https://www.toyotachulavista.com,True,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | First Aid Kit w/ PPE[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package"
2024-05-17,JTMEB3FV4RD202396,2024,RAV4 Prime XSE,Available,False,At dealer,50963,Silver Sky Metallic/Midnight Black Metallic Roof,Black Mixed Media,17,Longo Toyota,https://www.longotoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Door Edge Guards[installed_msrp] | Fog Light Accent[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package
